name,price,image_url
ESPRESSO ILLY,DT 6.000 - DT 7.000,https://images.unsplash.com/photo-1510707577719-ae7c14805e3a?q=80&w=1200&auto=format&fit=crop
Cappucin,DT 6.000 - DT 7.000,https://images.unsplash.com/photo-1534778101976-62847782c213?q=80&w=1200&auto=format&fit=crop
AMERICAN,DT 6.500,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?q=80&w=1200&auto=format&fit=crop
CAPPUCCINO,DT 4.000 - DT 7.000,https://images.unsplash.com/photo-1534778101976-62847782c213?q=80&w=1200&auto=format&fit=crop
Café Gourmand x3 macarons,DT 13.000 - DT 14.000,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?q=80&w=1200&auto=format&fit=crop
MACCHIATO,DT 6.000 - DT 7.000,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?q=80&w=1200&auto=format&fit=crop
CAFÉ CRÈME,DT 4.000 - DT 7.500,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?q=80&w=1200&auto=format&fit=crop
Café Turc,DT 8.000 - DT 10.000,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?q=80&w=1200&auto=format&fit=crop
ICED LATTE,DT 4.000 - DT 12.000,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?q=80&w=1200&auto=format&fit=crop
ILLY CAPSULE ICED AMERICAN,DT 11.000,https://images.unsplash.com/photo-1510707577719-ae7c14805e3a?q=80&w=1200&auto=format&fit=crop
AFFOGATO,DT 12.000,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?q=80&w=1200&auto=format&fit=crop
ICED AMERICAN,DT 9.000,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?q=80&w=1200&auto=format&fit=crop
ICED COFFEE DECAFÉINÉ,DT 11.000,https://images.unsplash.com/photo-1517701604599-bb29b565090c?q=80&w=1200&auto=format&fit=crop
ICED MOCHA,DT 13.000,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?q=80&w=1200&auto=format&fit=crop
DIABOLO FRAISE,DT 10.000,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?q=80&w=1200&auto=format&fit=crop
DIABOLO MENTHE,DT 10.000,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?q=80&w=1200&auto=format&fit=crop
INDIEN,DT 15.000,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?q=80&w=1200&auto=format&fit=crop
FRAÎCHEUR BOTANIQUE,DT 15.000,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?q=80&w=1200&auto=format&fit=crop
Joséphine Baker Cocktail,DT 17.000,https://images.unsplash.com/photo-1513558161293-cdaf765ed2fd?q=80&w=1200&auto=format&fit=crop
BLUE TROPICAL,DT 15.000,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?q=80&w=1200&auto=format&fit=crop
Pina Colada,DT 17.000,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?q=80&w=1200&auto=format&fit=crop
MANGO COLADA,DT 18.000,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?q=80&w=1200&auto=format&fit=crop
MOCKTAILS DU BARMAN,DT 18.000,https://images.unsplash.com/photo-1513558161293-cdaf765ed2fd?q=80&w=1200&auto=format&fit=crop
VIRGIN MOJITO,DT 15.000,https://images.unsplash.com/photo-1513558161293-cdaf765ed2fd?q=80&w=1200&auto=format&fit=crop
VIRGIN MOJITO Aromatiśé,DT 17.000,https://images.unsplash.com/photo-1513558161293-cdaf765ed2fd?q=80&w=1200&auto=format&fit=crop
